Profile,latitude,longitude,depth,temperature,salinity,ODO mg/L,ODO %
1,53.85,-9.775,10.296,9.287,34.09,9,97.6
1,53.85,-9.775,10.346,9.286,34.09,8.86,96.1
1,53.85,-9.775,10.386,9.271,34.1,8.76,95
1,53.85,-9.775,10.378,9.268,34.1,8.72,94.5
1,53.85,-9.775,10.402,9.277,34.11,8.69,94.3
1,53.85,-9.775,10.433,9.275,34.11,8.68,94.1
1,53.85,-9.775,10.43,9.274,34.11,8.66,93.9
1,53.85,-9.775,10.424,9.276,34.11,8.65,93.8
1,53.85,-9.775,10.47,9.272,34.12,8.64,93.7
1,53.85,-9.775,10.55,9.281,34.13,8.64,93.7
1,53.85,-9.775,10.415,9.281,34.16,8.63,93.6
1,53.85,-9.775,10.426,9.272,34.21,8.62,93.5
1,53.85,-9.775,10.354,9.265,34.22,8.61,93.5
1,53.85,-9.775,10.541,9.251,34.23,8.6,93.3
1,53.85,-9.775,10.296,9.266,34.18,8.6,93.3
1,53.85,-9.775,10.3,9.27,34.19,8.6,93.3
1,53.85,-9.775,10.42,9.263,34.19,8.6,93.3
1,53.85,-9.775,10.515,9.269,34.18,8.61,93.4
1,53.85,-9.775,10.461,9.268,34.17,8.6,93.3
1,53.85,-9.775,10.453,9.263,34.18,8.6,93.2
1,53.85,-9.775,10.372,9.263,34.18,8.59,93.2
1,53.85,-9.775,10.444,9.263,34.19,8.59,93.1
1,53.85,-9.775,10.426,9.269,34.19,8.59,93.2
1,53.85,-9.775,10.408,9.276,34.19,8.58,93.1
1,53.85,-9.775,10.407,9.268,34.19,8.59,93.2
1,53.85,-9.775,10.346,9.27,1.26,10.64,93.2
1,53.85,-9.775,10.179,9.242,0.35,10.57,92.2
1,53.85,-9.775,10.179,9.43,0.28,10.53,92.1
2,53.85,-9.867,10.864,9.288,33.94,8.53,92.5
2,53.85,-9.867,10.745,9.281,33.94,8.6,93.2
2,53.85,-9.867,10.766,9.261,33.93,8.62,93.3
2,53.85,-9.867,10.806,9.261,33.93,8.62,93.4
2,53.85,-9.867,10.828,9.274,33.93,8.62,93.4
2,53.85,-9.867,10.838,9.263,33.93,8.62,93.4
2,53.85,-9.867,10.848,9.261,33.93,8.62,93.4
2,53.85,-9.867,10.843,9.282,33.93,8.62,93.4
2,53.85,-9.867,10.836,9.271,33.93,8.62,93.4
2,53.85,-9.867,10.172,9.252,1.11,10.65,93.3
2,53.85,-9.867,10.177,9.337,0.42,10.47,91.6
2,53.85,-9.867,10.175,9.461,0.75,10.43,91.6
3,53.8,-9.867,10.171,10.435,0.42,10.21,91.6
3,53.8,-9.867,10.177,10.151,33.61,10.22,91.2
3,53.8,-9.867,10.792,9.303,34.3,8.45,91.8
3,53.8,-9.867,10.771,9.28,34.29,8.53,92.6
3,53.8,-9.867,10.758,9.282,34.29,8.55,92.8
3,53.8,-9.867,10.815,9.287,34.29,8.55,92.9
3,53.8,-9.867,10.751,9.287,34.29,8.55,92.9
3,53.8,-9.867,9.921,9.293,34.3,8.55,92.9
4,53.8,-9.775,10.864,9.338,34.28,8.51,92.5
4,53.8,-9.775,10.859,9.347,34.28,8.56,93
4,53.8,-9.775,10.838,9.324,34.28,8.57,93.1
4,53.8,-9.775,10.863,9.333,34.28,8.57,93.2
4,53.8,-9.775,10.863,9.339,34.28,8.57,93.2
4,53.8,-9.775,10.856,9.344,34.28,8.57,93.2
4,53.8,-9.775,10.17,9.355,0.9,10.62,93.2
4,53.8,-9.775,10.172,9.464,0.71,10.41,91.4
5,53.841117,-9.74775,10.168,10.217,0.45,10.25,91.6
5,53.841117,-9.74775,10.861,9.539,34,8.32,90.7
5,53.841117,-9.74775,10.874,9.39,34.13,8.59,93.4
5,53.841117,-9.74775,10.869,9.374,34.13,8.65,94
5,53.841117,-9.74775,10.878,9.383,34.12,8.67,94.2
5,53.841117,-9.74775,10.877,9.384,34.13,8.67,94.3
5,53.841117,-9.74775,10.875,9.385,34.12,8.68,94.3
5,53.841117,-9.74775,10.881,9.388,34.12,8.68,94.3
6,53.810583,-9.639433,10.17,10.746,0.36,10.18,92
6,53.810583,-9.639433,10.163,10.74,1.09,10.19,92.3
6,53.810583,-9.639433,10.541,9.507,32.96,8.44,91.4
6,53.810583,-9.639433,10.773,9.475,32.98,8.98,97.1
6,53.810583,-9.639433,10.796,9.461,33.02,9.15,99
6,53.810583,-9.639433,10.786,9.465,32.99,9.21,99.6
6,53.810583,-9.639433,10.805,9.464,32.99,9.23,99.8
6,53.810583,-9.639433,10.177,9.471,0.4,10.97,96.2
7,53.86945,-9.643617,10.888,9.351,33.4,8.38,90.7
7,53.86945,-9.643617,10.886,9.311,33.34,8.71,94.1
7,53.86945,-9.643617,10.875,9.306,33.32,8.81,95.2
7,53.86945,-9.643617,10.868,9.305,33.31,8.85,95.6
7,53.86945,-9.643617,10.875,9.296,33.32,8.86,95.7
7,53.86945,-9.643617,10.164,9.361,1.2,10.8,94.9
8,53.88295,-9.600417,10.17,11.126,0.4,9.96,90.8
8,53.88295,-9.600417,10.856,9.421,33.64,8.88,96.3
8,53.88295,-9.600417,10.893,9.393,33.65,9.37,101.6
8,53.88295,-9.600417,10.883,9.393,33.63,9.52,103.2
8,53.88295,-9.600417,10.883,9.382,33.64,9.53,103.2
8,53.88295,-9.600417,10.172,9.453,0.51,11.71,102.8
