Year,Malin Shelf,Donegal Bay,Killary Harbour,Galway Bay,Clew Bay,Castlemaine Harbour,Deenish Island,Bantry Bay,Dumanus Bay
1982,0,1,0,1,0,0,0,1,1
1983,1,0,1,1,0,0,1,1,2
1984,0,0,0,0,0,0,1,1,1
1985,0,0,0,1,0,0,0,0,0
1986,0,0,0,1,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0
1988,0,0,0,2,0,0,1,1,1
1989,2,4,2,2,3,2,4,5,5
1990,2,0,0,1,0,0,2,1,2
1991,1,1,0,1,0,0,1,2,1
1992,0,0,0,1,0,0,0,1,1
1993,0,0,0,0,1,1,0,0,0
1994,0,0,0,0,0,1,0,1,0
1995,6,4,3,7,3,3,4,4,3
1996,0,2,0,3,1,1,1,1,1
1997,3,5,5,7,6,3,5,6,6
1998,3,3,6,5,5,4,2,0,1
1999,2,2,2,1,1,1,1,2,3
2000,2,3,2,5,5,2,3,2,3
2001,3,1,2,1,4,2,0,0,0
2002,3,4,3,4,4,6,2,4,3
2003,6,4,5,6,7,5,8,5,4
2004,4,4,3,1,4,4,5,4,5
2005,2,3,5,3,5,5,3,4,5
2006,3,9,6,5,5,4,2,4,3
2007,10,9,10,5,9,6,6,10,7
2008,7,6,2,3,4,3,3,2,4
2009,2,2,3,1,2,2,2,1,1
2010,2,2,1,3,3,3,1,1,1
2011,2,1,0,1,0,0,1,2,1
2012,2,3,3,2,1,1,2,2,1
2013,2,3,2,3,1,2,2,2,2
2014,5,2,4,1,2,1,3,3,4
2015,1,2,2,2,1,3,3,1,2
2016,2,3,1,2,1,4,1,1,2
2017,3,2,2,3,3,0,4,2,3
2018,4,2,2,2,3,1,3,4,4
2019,6,5,7,6,5,5,4,4,4
2020,0,0,1,3,5,4,1,3,1
2021,5,6,3,7,5,6,3,4,2
2022,7,6,7,8,10,7,6,4,7
2023,8,7,6,5,6,5,3,4,5
2024,4,3,4,4,4,3,3,3,3
